id,age,gender,S00001,S00002,S00003,S00004,S00005,S00006,S00007,S00008,S00009,S00010,S00011,S00012,S00013,S00014,S00015,S00016,S00017,S00018,S00019,S00020,S00021,S00022,S00023,S00024,S00025,S00026,S00027,S00028,S00029,S00030
U00001,26,0,3,0,4,5,5,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
U00002,52,1,4,4,4,5,4,3,4,4,5,4,4,3,4,3,3,0,0,0,3,0,0,4,3,3,4,3,4,3,5,0
U00003,20,0,4,5,0,5,0,4,5,0,3,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0
U00004,23,1,4,5,0,3,0,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00005,20,0,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00006,29,0,4,0,0,5,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00007,23,0,4,4,0,2,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00008,57,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00009,21,0,5,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00010,25,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00011,19,0,4,2,2,5,0,5,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
U00012,19,0,5,4,0,5,0,5,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
U00013,24,0,3,3,3,3,3,2,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00014,27,1,4,4,3,3,0,3,0,3,4,0,3,0,0,0,2,0,3,0,0,0,0,3,0,2,3,2,2,3,0,3
U00015,64,0,1,1,5,1,1,4,5,1,1,1,3,2,3,4,5,5,4,1,1,1,2,2,2,3,2,4,2,4,2,4
U00016,19,1,4,5,3,4,2,4,2,4,4,3,4,2,2,2,3,2,2,2,2,2,2,4,4,3,4,2,2,2,3,3
U00017,29,0,3,4,0,4,0,4,0,3,2,3,1,0,0,0,0,2,2,0,0,0,0,0,0,3,0,0,1,0,0,0
U00018,28,0,3,4,0,4,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0
U00019,19,1,4,5,0,5,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
U00020,28,1,4,3,0,4,0,5,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00021,19,1,5,5,4,5,0,4,4,4,4,2,4,2,0,0,2,0,0,0,0,0,0,0,0,4,4,0,4,0,5,4
U00022,19,1,4,5,4,3,0,4,4,3,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0
U00023,27,1,3,3,0,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00024,20,1,0,5,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00025,19,1,5,4,0,4,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00026,19,1,4,5,0,5,0,5,0,4,5,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,5,5,5,0
U00027,23,1,5,5,5,0,5,4,4,5,5,5,5,4,3,3,3,2,3,2,0,4,3,4,4,2,5,3,5,5,5,3
U00028,19,1,3,2,0,4,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00029,41,1,4,4,5,4,4,4,0,3,3,3,3,0,4,3,4,0,3,0,0,0,0,4,3,0,4,0,0,4,0,3
U00030,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00031,19,1,3,3,3,4,0,4,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0
U00032,24,0,5,4,3,5,5,5,0,3,3,3,3,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,3,0,0,4
U00033,26,0,4,4,0,3,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00034,19,1,4,4,0,4,0,3,0,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0
U00035,19,1,4,4,0,4,4,4,0,4,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,3,0,0,0
U00036,25,1,5,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U00037,53,0,5,5,4,5,0,5,0,3,3,3,3,3,0,3,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
U00038,23,0,4,4,3,4,5,5,2,2,3,4,2,0,0,2,2,2,3,2,3,2,2,2,3,2,2,2,0,4,0,0
U00039,26,0,5,5,4,4,4,5,0,4,5,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
U00040,27,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
U00041,19,1,4,5,2,5,1,4,0,3,5,3,3,0,0,0,5,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0
U00042,22,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
U00043,50,0,4,4,4,5,4,4,3,4,4,3,3,2,3,3,4,0,3,0,3,2,2,3,3,2,3,3,3,3,4,0
U00044,44,1,4,3,3,5,4,3,4,4,4,4,4,3,3,3,3,4,4,0,4,3,2,5,3,3,3,3,3,3,3,4
U00045,28,0,5,5,3,5,0,4,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
U00046,28,0,5,5,4,5,2,5,3,4,3,2,3,3,0,0,3,2,2,0,0,0,0,0,3,0,0,3,0,2,2,2
U00047,25,1,3,3,2,4,3,4,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0
U00048,20,1,4,4,3,4,3,4,3,3,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,4,0
